map_a,map_b,bit_agreement,descriptor_nc,identity_permutation_logo_nc
H51-BRGA,tianjin-latest-free.shp-gis_osm_transport_a_free_1,0.78125,0.7812499999999998,0.8178673110426629
H51-BRGA,tianjin-latest-free.shp-gis_osm_transport_free_1,0.642578125,0.6425781249999999,0.691421356383712
H51-BRGA,tianjin-latest-free.shp-gis_osm_water_a_free_1,0.8359375,0.8359374999999998,0.8636715645594519
H51-BRGA,tianjin-latest-free.shp-gis_osm_waterways_free_1,0.859375,0.8593749999999998,0.8828844352243594
H51-BRGL,H51-BRGP,0.64453125,0.6445312499999999,0.6909361114969227
H51-BRGL,H51-CPTL,0.908203125,0.9082031249999998,0.9242170250759654
H51-BRGL,H51-HFCA,0.876953125,0.8769531249999998,0.8976989808456319
H51-BRGL,H51-HFCL,0.939453125,0.9394531249999998,0.9502393712780217
H51-BRGL,H51-HFCP,0.630859375,0.6308593749999999,0.6780216354007792
H51-BRGL,H51-HYDA,0.5,0.4999999999999999,0.558687705267843
H51-BRGL,H51-HYDL,0.939453125,0.9394531249999998,0.9503007585196174
H51-BRGL,H51-HYDP,0.642578125,0.6425781249999999,0.6892216298306773
H51-BRGL,H51-LFCL,0.896484375,0.8964843749999998,0.9149855276286857
H51-BRGL,H51-LFCP,0.642578125,0.6425781249999999,0.689660143443125
H51-BRGL,H51-LRDL,0.951171875,0.9511718749999998,0.9598431590246091
H51-BRGL,H51-LRRL,0.861328125,0.8613281249999998,0.8846652388369839
H51-BRGL,H51-RESA,0.875,0.8749999999999998,0.8963354175897652
H51-BRGL,H51-RESP,0.642578125,0.6425781249999999,0.6892216298306773
H51-BRGL,H51-RFCA,0.85546875,0.8554687499999998,0.8788650098334259
H51-BRGL,H51-RFCP,0.64453125,0.6445312499999999,0.6909361114969227
H51-BRGL,H51-TERL,0.591796875,0.5917968749999999,0.6482964103179933
H51-BRGL,H51-TERP,0.64453125,0.6445312499999999,0.6909361114969227
H51-BRGL,H51-VEGA,0.6796875,0.6796874999999999,0.72640373679697
H51-BRGL,tianjin-latest-free.shp-gis_osm_buildings_a_free_1,0.7890625,0.7890624999999998,0.8231496315012369
H51-BRGL,tianjin-latest-free.shp-gis_osm_landuse_a_free_1,0.79296875,0.7929687499999998,0.8269138195945605
H51-BRGL,tianjin-latest-free.shp-gis_osm_natural_free_1,0.64453125,0.6445312499999999,0.6909361114969227
H51-BRGL,tianjin-latest-free.shp-gis_osm_places_a_free_1,0.796875,0.7968749999999998,0.8299544088013073
H51-BRGL,tianjin-latest-free.shp-gis_osm_places_free_1,0.642578125,0.6425781249999999,0.689660143443125
H51-BRGL,tianjin-latest-free.shp-gis_osm_pofw_a_free_1,0.80078125,0.8007812499999998,0.8332348610100081
H51-BRGL,tianjin-latest-free.shp-gis_osm_pofw_free_1,0.6484375,0.6484374999999999,0.6947940899203691
H51-BRGL,tianjin-latest-free.shp-gis_osm_pois_a_free_1,0.78515625,0.7851562499999998,0.8193693049160804
H51-BRGL,tianjin-latest-free.shp-gis_osm_pois_free_1,0.642578125,0.6425781249999999,0.689660143443125
H51-BRGL,tianjin-latest-free.shp-gis_osm_railways_free_1,0.787109375,0.7871093749999998,0.8210179353082656
